offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1324,8486,09-18-2025,pending,3.0,4,57.8,R3,no-geo
1324,8486,09-17-2025,pending,3.0,4,115.6,R3,no-geo
1324,189,09-15-2025,pending,12.0,16,89.53,RD6,no-geo
1324,2345,09-14-2025,pending,3.6,4,555.08,R38,no-geo
1324,189,09-14-2025,pending,12.0,16,57.8,RD6,no-geo
1324,5365,09-14-2025,pending,3.0,4,57.8,R48,no-geo
1324,2345,09-14-2025,pending,3.6,4,57.8,R39,no-geo
1324,14465,09-13-2025,pending,3.6,4,115.6,R99,no-geo
1324,2345,09-12-2025,pending,3.6,4,231.2,R38,no-geo
1324,14465,09-12-2025,pending,14.4,16,120.13,R99,no-geo
1324,14465,09-10-2025,pending,14.4,16,224.54,R99,no-geo
1324,14298,09-09-2025,pending,3.2,4,57.8,R77,no-geo
1324,14298,09-09-2025,pending,3.2,4,57.8,R77,no-geo
1324,14465,09-08-2025,pending,3.6,4,57.8,R99,no-geo
1324,14465,09-08-2025,pending,3.6,4,179.3,R99,no-geo
1324,5365,09-06-2025,pending,3.0,4,57.8,R48,no-geo
1324,14465,09-06-2025,pending,14.4,16,231.2,R99,no-geo
1324,14298,09-06-2025,pending,3.2,4,57.8,R77,no-geo
