offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1324,2345,09-12-2025,pending,3.6,4,231.2,R38,no-geo
1324,14465,09-12-2025,pending,14.4,16,120.13,R99,no-geo
1324,14465,09-10-2025,pending,14.4,16,224.54,R99,no-geo
1324,14298,09-09-2025,pending,3.2,4,57.8,R77,no-geo
1324,14298,09-09-2025,pending,3.2,4,57.8,R77,no-geo
1324,14465,09-08-2025,pending,3.6,4,57.8,R99,no-geo
1324,14465,09-08-2025,pending,3.6,4,179.3,R99,no-geo
1324,5365,09-06-2025,pending,3.0,4,57.8,R48,no-geo
1324,14465,09-06-2025,pending,14.4,16,231.2,R99,no-geo
1324,14298,09-06-2025,pending,3.2,4,57.8,R77,no-geo
1324,2345,09-04-2025,pending,3.6,4,240.04,R39,no-geo
1324,8486,09-03-2025,pending,3.0,4,57.8,R3,no-geo
1324,189,09-03-2025,pending,3.0,4,575.61,RD6,no-geo
1324,14465,09-02-2025,pending,14.4,16,21.08,R99,no-geo
1324,6728,09-01-2025,pending,3.0,4,231.2,R25,no-geo
1324,12936,09-01-2025,pending,3.0,4,115.6,R55,no-geo
1324,14465,09-01-2025,pending,3.6,4,57.8,R99,no-geo
1324,14465,08-31-2025,pending,3.6,4,231.2,R99,no-geo
1324,14465,08-31-2025,pending,3.6,4,57.8,R99,no-geo
1324,5365,08-30-2025,pending,3.0,4,57.8,R48,no-geo
1324,2345,08-30-2025,pending,3.6,4,231.2,R43,no-geo
1324,2345,08-29-2025,pending,14.4,16,144.16,R42,no-geo
1324,14465,08-28-2025,pending,3.6,4,231.2,R99,no-geo
1324,14465,08-28-2025,pending,3.6,4,155.3,R99,no-geo
1324,7010,08-27-2025,pending,3.0,4,358.81,R31,no-geo
1324,7010,08-27-2025,pending,12.0,16,115.6,R31,no-geo
1324,12346,08-26-2025,pending,3.0,4,115.6,R22,no-geo
