offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1204,2345,10-01-2025,pending,2.72,3.02,60.48,DG2,ksa
1204,663,10-01-2025,pending,1.7,2.12,14.16,DG6,ksa
1204,1,10-01-2025,pending,0.0,7.65,153.02,D31,uae
1204,2345,10-01-2025,pending,3.49,3.88,77.52,DG25,ksa
1204,2345,10-01-2025,pending,3.97,4.41,88.28,DG2,uae
1204,2345,10-01-2025,pending,4.83,5.36,35.76,DG25,ksa
1204,12941,10-01-2025,pending,3.65,5.0,100.08,DG7,ksa
1204,2345,10-01-2025,pending,2.79,3.1,30.96,DG2,ksa
1204,1,10-01-2025,pending,0.0,5.09,101.76,M9,ksa
1204,1,10-01-2025,pending,0.0,1.55,30.96,M9,ksa
1204,7023,10-01-2025,pending,2.5,3.42,68.4,DG77,ksa
1204,1,10-01-2025,pending,0.0,5.4,36.0,D60,ksa
1204,1,10-01-2025,pending,0.0,1.08,21.6,M9,ksa
1204,2345,10-01-2025,pending,5.99,6.66,44.4,NW8,ksa
1204,2345,10-01-2025,pending,4.28,4.76,95.15,DG2,uae
1204,2345,10-01-2025,pending,17.85,19.84,132.24,DG2,ksa
1204,6675,10-01-2025,pending,2.91,3.42,68.4,DG3,ksa
1204,2345,10-01-2025,pending,3.35,3.73,74.55,DG24,uae
1204,1,10-01-2025,pending,0.0,1.76,11.76,D60,ksa
1204,2345,10-01-2025,pending,5.99,6.66,44.4,DG2,ksa
1204,663,10-01-2025,pending,3.26,4.08,81.6,DG6,ksa
1204,1,10-01-2025,pending,0.0,9.82,196.32,D1,ksa
1204,1,10-01-2025,pending,0.0,1.19,23.76,D60,ksa
1204,663,10-02-2025,pending,3.53,4.42,88.32,DG6,ksa
1204,663,10-02-2025,pending,3.26,4.08,81.6,DG6,ksa
1204,1,10-02-2025,pending,0.0,9.0,60.0,F5,ksa
1204,663,10-02-2025,pending,2.1,2.63,52.56,DG6,ksa
1204,1,10-02-2025,pending,0.0,3.65,73.08,T7,uae
1204,2345,10-02-2025,pending,4.36,4.85,32.31,DG24,Bahrain
1204,2345,10-02-2025,pending,8.1,9.0,60.0,DG2,ksa
1204,663,10-02-2025,pending,1.46,1.82,36.48,DG6,ksa
1204,6947,10-03-2025,pending,1.15,1.58,31.63,DG9,uae
1204,2345,10-03-2025,pending,1.09,1.21,24.28,DG2,uae
1204,663,10-03-2025,pending,7.18,8.98,179.52,DG6,ksa
1204,7023,10-03-2025,pending,2.5,3.42,68.4,DG77,ksa
1204,2345,10-03-2025,pending,3.53,3.92,26.16,DG2,ksa
1204,1,10-03-2025,pending,0.0,9.0,60.0,G2,ksa
1204,2345,10-03-2025,pending,4.06,4.51,90.24,DG2,ksa
1204,6132,10-04-2025,pending,1.12,1.54,30.72,DG32,ksa
1204,2345,10-04-2025,pending,7.95,8.83,176.57,DG2,uae
1204,7023,10-04-2025,pending,6.57,9.0,60.0,DG77,ksa
1204,6729,10-04-2025,pending,16.01,20.52,410.4,DG10,ksa
1204,2345,10-04-2025,pending,4.1,4.56,91.2,DG2,ksa
1204,2345,10-04-2025,pending,1.59,1.76,11.76,DG2,ksa
1204,2345,10-04-2025,pending,4.54,5.04,100.8,DG2,ksa
1204,2345,10-04-2025,pending,1.65,1.84,36.74,DG2,qtr
1204,2345,10-05-2025,pending,8.1,9.0,60.0,DG2,ksa
1204,663,10-05-2025,pending,1.24,1.55,30.96,DG6,ksa
1204,2345,10-05-2025,pending,7.95,8.83,176.57,DG24,uae
1204,2345,10-05-2025,pending,9.82,10.91,218.26,DG24,uae
1204,5566,10-05-2025,pending,1.29,1.52,30.41,DG66,uae
1204,5566,10-05-2025,pending,3.13,3.68,73.57,DG66,uae
1204,2345,10-05-2025,pending,1.85,2.06,41.2,DG24,uae
1204,7023,10-05-2025,pending,1.36,1.86,37.2,DG77,ksa
1204,663,10-05-2025,pending,1.57,1.96,39.24,DG8,uae
1204,6132,10-06-2025,pending,6.57,9.0,60.0,DG32,ksa
1204,1,10-06-2025,pending,0.0,1.76,11.76,N6,ksa
1204,2345,10-06-2025,pending,7.95,8.83,176.57,DG2,uae
1204,2345,10-06-2025,pending,0.92,1.02,20.4,DG22,ksa
1204,663,10-06-2025,pending,7.46,9.32,186.48,DG6,ksa
1204,6132,10-06-2025,pending,1.19,1.63,32.64,DG32,ksa
1204,7023,10-06-2025,pending,1.34,1.84,36.78,DG77,uae
1204,663,10-07-2025,pending,2.53,3.16,31.63,DG6,uae
1204,2345,10-07-2025,pending,14.94,16.6,110.64,DG25,ksa
1204,1,10-07-2025,pending,0.0,2.87,57.39,WA1,ksa
1204,663,10-08-2025,pending,1.41,1.76,11.76,DG8,ksa
1204,7023,10-08-2025,pending,4.17,5.71,57.12,DG77,ksa
1204,7023,10-08-2025,pending,3.9,5.34,106.8,DG77,ksa
1204,5566,10-08-2025,pending,4.69,5.52,110.35,DG66,uae
1204,2345,10-08-2025,pending,3.31,3.68,73.57,DG24,uae
1204,7031,10-08-2025,pending,2.36,3.23,64.56,DG1,ksa
1204,2345,10-08-2025,pending,5.56,6.18,123.6,DG25,ksa
1204,1,10-08-2025,pending,0.0,5.65,37.68,D60,ksa
1204,663,10-08-2025,pending,1.41,1.76,11.76,DG8,ksa
1204,663,10-09-2025,pending,2.3,2.88,57.6,DG6,ksa
1204,1,10-09-2025,pending,0.0,1.58,31.63,D14,uae
1204,2345,10-09-2025,pending,4.37,4.86,32.4,NW4,ksa
1204,663,10-09-2025,pending,1.41,1.76,11.76,DG6,ksa
1204,663,10-09-2025,pending,2.82,3.53,23.52,DG6,ksa
1204,1,10-09-2025,pending,0.0,1.76,11.76,M9,ksa
1204,1,10-09-2025,pending,0.0,3.41,68.16,D60,ksa
1204,1,10-09-2025,pending,0.0,6.7,133.9,D14,uae
1204,663,10-09-2025,pending,2.16,2.7,54.0,DG6,ksa
1204,663,10-10-2025,pending,2.34,2.93,58.56,DG6,ksa
1204,663,10-10-2025,pending,1.41,1.76,11.76,DG6,ksa
1204,1,10-10-2025,pending,0.0,2.35,47.08,D14,uae
