offer,affiliate_id,date,status,payout,revenue,sale amount,coupon,geo
1352,3607,10-26-2025,pending,6.73,8.97,276.11,D95,no-geo
1352,3607,10-25-2025,pending,6.76,9.02,450.93,D95,no-geo
1352,3607,10-25-2025,pending,1.15,1.53,51.0,D95,no-geo
1352,3607,10-25-2025,pending,0.72,0.96,31.87,D100,no-geo
1352,3607,10-26-2025,pending,0.65,0.87,28.93,D95,no-geo
1352,3607,10-26-2025,pending,0.62,0.83,27.7,D100,no-geo
1352,3607,10-25-2025,pending,0.8,1.07,35.55,D95,no-geo
1352,3607,10-26-2025,pending,4.24,5.65,188.26,D100,no-geo
1352,3607,10-27-2025,pending,3.85,5.13,170.91,D100,no-geo
1352,3607,10-27-2025,pending,1.19,1.58,52.72,D95,no-geo
1352,3616,10-27-2025,pending,4.39,5.85,179.99,Z77,no-geo
1352,3607,10-27-2025,pending,0.99,1.32,43.89,D100,no-geo
1352,3607,10-27-2025,pending,0.55,0.74,24.52,Z99,no-geo
